File Type,File Size,Encryption Time,Decryption Time
mp4,35926,3.1871795654296875,0.0
mp4,47672,6.849288940429688,3.721237182617188
mp4,42943,0.0,5.326986312866211
mp4,35926,2.4423599243164062,0.9977817535400392
mp4,14845,3.864049911499024,0.9987354278564452
mp4,14088,1.1103153228759766,0.9970664978027344
mp4,20347,0.9965896606445312,0.0
mp4,18817,0.0,0.0
mp4,44473,8.20779800415039,3.287792205810547
mp4,35926,2.8183460235595703,2.062320709228516
mp4,39883,2.488374710083008,0.9970664978027344
mp4,45246,0.0,7.729291915893555
mp4,41413,2.9916763305664062,0.0
mp4,44473,5.767583847045898,1.7888545989990234
mp4,32866,0.0,0.0
mp4,14845,0.5207061767578125,1.0287761688232422
mp4,13315,0.9970664978027344,0.705718994140625
mp4,21104,0.0,0.0
mp4,44473,6.792783737182617,2.193689346313477
mp4,34396,0.0,6.707429885864258
mp4,20347,0.8616447448730469,1.7578601837158203
mp4,15618,0.9753704071044922,0.0
mp4,50732,5.278348922729492,2.637624740600586
mp4,42186,0.0,7.286548614501953
mp4,11028,1.6193389892578125,0.0786781311035156
mp4,20347,1.0151863098144531,0.0
mp4,43716,5.401849746704102,2.944469451904297
mp4,30424,0.0,6.065845489501953
mp4,20347,1.9938945770263672,0.9970664978027344
mp4,34396,0.0,5.249977111816406
mp4,29667,2.2325515747070312,0.0
mp4,26607,7.564544677734375,2.3670196533203125
mp4,46915,6.162166595458984,2.0182132720947266
mp4,32866,2.4673938751220703,1.9943714141845703
mp4,32093,0.9999275207519532,3.644466400146485
mp4,40656,3.0927658081054688,0.0
mp4,54705,6.196498870849609,2.9959678649902344
mp4,36683,2.4764537811279297,1.9927024841308596
mp4,54705,3.059625625610352,2.477884292602539
mp4,12558,0.0,0.0
mp4,48445,5.856752395629883,2.4666786193847656
mp4,29667,0.0,0.0
mp4,45246,7.3947906494140625,3.3721923828125
mp4,28137,0.0,0.0
mp4,36683,6.430864334106445,1.585245132446289
mp4,41413,0.0,0.0
mp4,42943,7.615327835083008,2.5153160095214844
mp4,18044,0.0,0.0
mp4,44473,0.0,7.568597793579102
mp4,27364,0.0,0.0
mp4,22634,0.0,8.168458938598633
mp4,47672,3.043174743652344,0.0
mp4,18817,1.0249614715576172,1.4760494232177734
mp4,18044,0.0,0.0
mp4,41413,0.0,10.023832321166992
mp4,48445,2.017974853515625,5.4492950439453125
mp4,47672,2.600431442260742,0.0
mp4,53932,8.129119873046875,3.275156021118164
mp4,28894,0.0,6.280660629272461
mp4,18817,2.305746078491211,0.0
mp4,18817,0.0,0.0
mp4,49202,9.33218002319336,2.5739669799804688
mp4,49202,4.797697067260742,3.0951499938964844
mp4,18044,0.0,0.0
mp4,26607,6.975650787353516,2.086877822875977
mp4,25077,2.050638198852539,0.9975433349609376
mp4,46915,4.807472229003906,2.6569366455078125
mp4,54705,0.0,10.217905044555664
mp4,12558,0.0,3.671884536743164
mp4,39883,2.022743225097656,2.559661865234375
mp4,11028,1.8184185028076167,0.0
mp4,13315,0.7448196411132812,0.0
mp4,11785,0.0,0.9977817535400392
mp4,12558,0.0,0.0
mp4,37456,2.981185913085937,2.2983551025390625
mp4,29667,1.9953250885009768,1.1739730834960938
mp4,11785,0.0,0.0
mp4,20347,0.0,3.558635711669922
mp4,14088,0.8935928344726562,0.5452632904052734
mp4,29667,0.9593963623046876,1.9941329956054688
mp4,49975,0.0,0.0
mp4,21104,0.7698535919189453,0.99945068359375
mp4,18817,0.7698535919189453,0.997304916381836
mp4,36683,1.9960403442382808,0.0
mp4,52262,4.575490951538086,2.186298370361328
mp4,19574,0.9968280792236328,0.0
mp4,13315,0.0,2.340078353881836
mp4,25077,0.9980201721191406,0.0
mp4,11785,0.0,2.9854774475097656
mp4,36683,1.155853271484375,1.995086669921875
mp4,46915,0.9980201721191406,0.0
mp4,40656,0.0,7.252931594848633
mp4,25834,1.346111297607422,0.6773471832275391
mp4,37456,0.9996891021728516,0.0
mp4,15618,0.0,4.036188125610352
mp4,54705,2.209186553955078,2.025604248046875
mp4,22634,0.0,0.0
mp4,36683,0.0,5.582332611083984
mp4,22634,0.9968280792236328,0.3516674041748047
mp4,52262,0.0,0.0
